Channel V71,Channel K20,Channel BF,Name,Frequency,Offset,Tone,Call,Location,ST/PR,VOIP,DGTL,Mi,Dir,Tone Type,Mode,Lockout,Frequency Duplicates,Prox To
0,0,0,2MCALL,146.52,,,,,,,,,,,,,1,Longview
1,1,1,KF7HVM,147.56,,,,Personal Simplex / Test,,,,,,,,,1,
2,2,2,W7DG L,147.26,+0.6 MHz,114.8,W7DG,Longview,WA,6,,2.91,E,,,,2,
3,3,3,N7EI,146.88,-0.6 MHz,114.8,N7EI,"Deer Island, Meissner Lookout",OR,4,,12.6,SSW,CT,,,1,
4,4,4,W7DG W,147.3,+0.6 MHz,114.8,W7DG,"Woodland, Fire Station",WA,,,18.63,SSE,,,,3,
5,5,5,N7EI 3,146.68,-0.6 MHz,114.8,N7EI,"Warren, McNulty Water Tower",OR,,,20.87,S,CT,,,2,
6,6,6,W7VER,145.25,-0.6 MHz,114.8,W7VER,"Vernonia, Corey Hill",OR,,,23.03,SW,,,,3,
7,7,7,W7BU N,146.76,-0.6 MHz,118.8,W7BU,"Astoria, Nicolai Mountain",OR,,,25.16,W,,,,2,
8,8,8,WA7UHD,147.06,+0.6 MHz,110.9,WA7UHD,"Chehalis, Baw Faw Peak (Boistfort Peak)",WA,,,27.56,NNW,CT,,,1,
9,9,9,K7KFM,146.74,-0.6 MHz,110.9,K7KFM,"Chehalis, Crego Hill",WA,,,29.36,N,,,,3,
10,10,10,NM7R 3,147.02,+0.6 MHz,118.8,NM7R,"Cathlamet, KM Hill",WA,,,30.72,WNW,CT,,,1,
11,11,11,K7RPTW,146.72,-0.6 MHz,114.8,K7RPT,"Astoria, Wickiup Mountain",OR,,,23.34,NE,CT,,,2,
12,12,12,W7OTV,146.96,-0.6 MHz,127.3,W7OTV,"Colton, Goat Mountain",OR,,,76.14,SSE,CT,,,2,
19,13,13,KJ7IYT,145.27,-0.6 MHz,107.2,KJ7IY,"Timber, Tillamook",OR,,,,,CT,,,2,
40,20,20,SM6415,146.415,,,,Longview Simplex Group,,,,,,,,,1,
